sample,super_pop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HG01501,EUR,-84.57575,-142.52284,-27.803818,-53.390903,2.630303,-1.1407701,-20.690401,2.5293763,3.2720125,-0.43070474,-4.3091855,3.7687361
HG01503,EUR,-92.95757,-148.3414,-31.273575,-53.59217,2.0862656,0.03184375,-28.022028,3.7522252,-2.5269804,1.4506828,1.0841254,-1.484335
HG01504,EUR,-89.259445,-145.75462,-33.299046,-54.985607,4.202762,1.8528593,-30.858877,6.316719,-2.213062,-4.48044,-1.5403377,-2.2627401
HG01506,EUR,-87.158615,-149.15704,-31.292942,-56.199657,8.133019,2.1825619,-24.045492,2.5957425,-0.5025486,-3.714131,-1.9707959,-2.4427822
HG01507,EUR,-90.88583,-147.23198,-32.448082,-53.33687,5.826185,2.117138,-28.841217,5.019105,-4.5061855,-1.0102224,6.5517116,6.308918
HG01509,EUR,-85.7977,-147.14043,-30.10701,-54.60743,5.4541607,-1.3672602,-25.72699,2.1400654,-2.4389074,-4.17622,-9.198638,-0.019902015
HG01510,EUR,-90.08815,-149.81218,-31.369785,-51.011395,3.3918567,1.6912624,-30.871996,3.808416,1.8374931,-3.890441,2.0412686,-0.11953306
HG01512,EUR,-93.15933,-150.81204,-32.729362,-53.18487,6.150048,3.183923,-22.574945,4.6607966,-3.9880195,-1.1430815,-2.1296396,2.6725464
HG01513,EUR,-93.71104,-151.32588,-34.93217,-55.339447,3.9620938,0.7627952,-28.79654,6.6449738,-4.295394,-2.2332332,-4.2678475,0.10001
HG01515,EUR,-97.158936,-153.67313,-37.878822,-57.506397,5.0728397,3.5422187,-23.67755,6.329313,-5.9823856,-2.2648468,-3.6705525,10.262442
HG01516,EUR,-97.865486,-152.99484,-39.06732,-57.256058,1.5510385,-1.4791396,-23.071478,5.1047864,-3.6127105,4.0501733,-0.17733055,-4.075393
HG01518,EUR,-97.37461,-153.73917,-39.813156,-59.23221,4.0099726,0.23344249,-20.672258,4.3691854,-4.812556,-1.3817835,-7.391245,6.6637754
HG01519,EUR,-96.52195,-154.85728,-37.803204,-58.76018,5.0622005,0.8882242,-22.7297,6.5451016,-1.4612647,-2.7495215,-1.8872766,4.455505
HG01521,EUR,-98.489174,-153.5528,-37.3594,-57.676353,3.600061,3.5417871,-24.352304,7.235253,-6.192816,0.3639193,-11.707681,2.8314674
HG01522,EUR,-98.76434,-150.43527,-36.796722,-54.369057,5.6383147,1.6004672,-22.749428,5.393317,-6.28732,4.484971,-10.0391245,-1.4421257
HG01524,EUR,-90.98308,-148.09015,-32.54587,-55.02243,6.7426953,1.9713578,-29.843704,6.8001976,-3.8972952,-1.5452477,-1.2503835,4.7886167
HG01525,EUR,-90.13694,-143.80379,-30.301708,-53.138073,7.295749,3.4685068,-27.350965,5.7453074,-0.37328014,0.84695727,-2.3903973,5.086366
HG01527,EUR,-83.59354,-143.86852,-29.312231,-50.40449,5.657531,-0.14327283,-28.35941,2.6306078,3.2517607,-4.432365,-5.2295732,3.1739547
HG01528,EUR,-86.96483,-147.9456,-33.184044,-55.71248,4.2092514,0.7812603,-28.383446,2.6014862,-6.8657928,0.0011740652,1.3851583,-4.2159863
HG01530,EUR,-88.66747,-143.33652,-31.126884,-54.805763,3.7641947,-0.16351724,-26.263344,1.0989326,-2.8802671,-1.8180329,1.3788387,1.2987719
HG01531,EUR,-87.11268,-146.43793,-30.155579,-53.362236,6.3437395,2.7284467,-27.193346,3.840839,-0.86868435,-0.76541036,-4.668828,0.12348631
HG01536,EUR,-90.379234,-147.79318,-32.749634,-54.84852,2.6661365,0.30030003,-21.60216,4.4452806,-3.1078122,3.6508896,3.792609,1.9111454
HG01537,EUR,-94.11653,-148.21527,-31.49903,-53.16831,6.8848863,3.6257687,-21.526814,5.4161835,2.2847877,-3.1573162,1.1189727,-4.010004
HG01550,AMR,-79.33338,-88.315796,-61.638878,16.764572,5.05187,1.3791286,-23.657522,2.821685,-1.0885268,1.6163524,-12.600858,6.793178
HG01551,AMR,49.859516,-31.506748,-54.0878,34.996284,1.2680681,-1.1546465,-11.464115,0.20708492,2.7726092,-5.373941,-16.21957,-7.715909
