sample,super_pop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HG00096,EUR,-101.80072,-150.33533,-32.466724,-50.68723,-2.3037617,-1.0186607,10.735488,2.8051283,-0.38010547,8.953972,10.142629,-2.5796404
HG00097,EUR,-100.11581,-146.34871,-29.447208,-49.08373,-3.439903,-2.1131847,11.919144,-1.1189439,0.76558125,7.83304,12.88131,-8.389226
HG00099,EUR,-102.30657,-148.63377,-32.046913,-45.96685,-2.4682112,-1.144406,19.244757,0.8549676,6.4022408,9.920464,16.721819,-17.832525
HG00100,EUR,-99.27828,-149.6709,-31.300156,-49.906548,-0.16323422,-0.7497082,7.4758554,0.2046455,4.009843,12.995514,12.015766,-14.016482
HG00101,EUR,-100.85636,-147.39491,-34.865902,-48.052727,-1.9763407,-1.6783453,15.198419,-0.7706978,8.148236,12.133704,13.074799,-16.035864
HG00102,EUR,-102.84231,-147.87434,-31.476065,-50.273357,-5.6074247,-0.5268265,17.498392,-1.9623295,-4.1644673,10.262601,12.647962,-14.256921
HG00103,EUR,-101.26894,-146.41278,-32.5278,-51.00485,-1.9842509,-0.9152797,12.468251,1.6179249,11.913435,9.015082,12.604878,-12.437011
HG00105,EUR,-100.844635,-145.64604,-31.853346,-49.875797,-1.6014438,-0.36566707,10.998807,0.8965485,4.7935023,7.700402,12.172644,-14.054988
HG00106,EUR,-102.76407,-147.86835,-31.797504,-45.968132,2.6492777,-2.7865205,12.288118,2.3887968,6.5858326,5.290768,14.608002,-7.0520515
HG00107,EUR,-103.3416,-146.66116,-33.585445,-47.567123,-0.91432875,0.3313796,15.710758,0.113503985,5.624172,1.0390222,11.335113,-10.87355
HG00108,EUR,-99.56995,-149.46672,-32.761726,-49.113373,-2.3542225,-1.0840095,16.166534,0.45073786,6.165586,6.770529,16.615225,-12.514293
HG00109,EUR,-102.05855,-148.56815,-34.861362,-52.472626,0.5500402,1.6613617,12.33999,-0.10737047,4.144817,11.440784,13.70737,-10.895384
HG00110,EUR,-101.22941,-147.7016,-29.939253,-48.323963,-1.4500754,-1.1002281,15.4279785,0.040428396,4.714309,7.4668117,11.073271,-9.843335
HG00111,EUR,-100.39306,-148.35463,-27.642544,-44.90375,-4.4683294,-2.0123475,19.370712,-1.6052228,-0.75944024,12.734421,16.238867,-12.599557
HG00112,EUR,-102.93204,-148.34254,-30.86607,-49.867764,-2.122816,-1.8236544,13.698913,-1.3053036,5.7186046,12.107932,11.912333,-6.3675966
HG00113,EUR,-100.76647,-148.09525,-32.634468,-50.400482,-2.1335762,-0.3938678,11.059607,0.06742513,3.392084,12.503948,11.887356,-14.0575285
HG00114,EUR,-100.85316,-145.85316,-31.644667,-48.74364,-4.6108837,-2.1783714,13.856713,0.18026268,-1.4596775,7.6343575,14.172826,-10.912095
HG00115,EUR,-98.84221,-148.84872,-29.448473,-50.64923,0.03826988,-0.51223344,10.686224,-2.3228161,7.2715445,6.9325886,5.1050253,-12.190671
HG00116,EUR,-102.51245,-149.019,-31.153553,-51.0308,0.95583034,0.5818359,17.857286,-0.71716696,3.4557602,10.582187,13.488582,-16.397495
HG00117,EUR,-102.29041,-147.033,-33.34215,-48.222557,-1.7406403,-1.4406743,14.582559,0.19901451,-1.6023666,11.098668,15.688445,-9.813131
HG00118,EUR,-100.66695,-149.60442,-32.781902,-44.68891,0.2220334,-0.92604744,13.134333,-1.6345959,4.7130847,9.931321,13.716852,-12.363947
HG00119,EUR,-101.14645,-147.199,-34.346554,-50.05443,-1.0906262,-0.74965274,14.339329,0.19252945,1.6329552,10.798841,23.501965,-15.667599
HG00120,EUR,-100.769585,-149.3739,-32.200844,-50.4285,-2.0414267,-1.7164246,16.950243,1.0563877,5.9181604,11.957961,15.930639,-17.428291
HG00121,EUR,-102.552246,-148.12738,-29.888313,-48.01294,-3.2942355,-0.6743721,17.412443,-1.4974852,4.2178764,4.919105,8.775436,-9.647227
HG00122,EUR,-102.259384,-149.54315,-34.366764,-48.416073,-3.0002265,-1.4608086,12.972696,0.15968157,7.935747,8.82945,12.412953,-6.80526
HG00123,EUR,-99.31295,-148.17291,-29.070839,-46.77939,-2.2121289,-2.1911082,18.161184,-3.6799688,7.066924,12.50391,14.010911,-10.540118
HG00125,EUR,-101.340485,-148.57632,-31.699404,-47.80932,-2.5024278,-0.15661305,17.709482,-2.450631,6.7064724,5.85631,6.3684683,-13.978693
HG00126,EUR,-100.69628,-153.1114,-31.511116,-51.42247,-1.777967,1.2351677,7.63487,-1.3023422,3.1857474,6.3180637,8.507298,-12.15163
HG00127,EUR,-101.33877,-149.63235,-32.069645,-50.471607,-0.6421462,-1.4145781,10.895262,-0.6613926,-0.9290588,4.799869,12.330555,-13.368412
HG00128,EUR,-99.27229,-150.3481,-30.74891,-50.85939,-0.44474822,-0.27717683,9.083393,-0.25128317,4.0806828,5.8134127,10.80432,-14.97613
HG00129,EUR,-101.33103,-151.70264,-33.30706,-48.95788,-5.0053444,-2.7083848,14.930483,-0.6318588,0.20121416,4.988524,15.054482,-8.6848135
HG00130,EUR,-99.261604,-147.82146,-29.341928,-52.76568,-1.6757331,-1.4300936,7.220191,1.7819034,-3.2019255,10.820654,7.1860785,-10.1647625
HG00131,EUR,-99.86728,-147.84358,-31.306435,-48.873383,-0.37808377,-1.6969382,11.991358,-1.2437625,-0.15138932,10.83651,1.7212496,-4.0847025
HG00132,EUR,-99.54537,-147.83434,-30.234121,-52.1509,0.37779838,-0.07632484,3.7862241,2.5410771,4.945355,8.232342,18.140324,-13.046471
HG00133,EUR,-99.68534,-148.8468,-29.120695,-47.941483,-0.3400588,-1.2820809,11.715981,2.2942233,4.363505,11.604876,8.472358,-9.632135
HG00136,EUR,-101.058846,-146.64412,-32.23371,-50.463146,-2.0395129,-1.6267784,10.604509,-0.22284997,3.5817218,-2.4725935,6.63346,-9.336103
HG00137,EUR,-101.459656,-149.1796,-32.484547,-50.598587,0.42233166,0.9807307,10.232615,0.31651416,5.9550247,9.871474,8.031442,-4.127321
HG00138,EUR,-99.28608,-151.26009,-31.505386,-50.937542,-1.461752,0.47176853,10.42066,0.5047463,6.8924727,6.2245646,5.9490056,-8.964138
HG00139,EUR,-100.36372,-152.0109,-34.590366,-51.402836,-4.1336637,-1.5023638,8.121157,-1.4029698,3.9137697,5.6256676,2.2571893,-6.2737765
HG00140,EUR,-101.456436,-148.25568,-31.582212,-49.450333,-3.1122165,-1.315966,11.997965,0.92956555,1.1276923,14.541176,8.009294,-10.613405
HG00141,EUR,-103.59622,-151.70251,-33.42993,-48.522953,-0.7983607,-2.0160534,13.371496,-0.5265991,6.5962715,2.8891628,8.33145,-5.5114427
HG00142,EUR,-99.2699,-149.37932,-29.7282,-52.53003,0.69434315,-0.4721258,11.661955,-0.98279613,0.536865,1.3908565,11.180241,-8.403204
HG00143,EUR,-98.55329,-151.27776,-29.957638,-50.0991,-1.4281126,-0.4511921,5.2023544,1.583316,10.105511,6.044589,4.506675,-9.292848
HG00145,EUR,-100.999374,-149.98357,-31.219215,-50.50404,1.1720759,0.47737068,5.899832,1.1305797,1.119427,1.4350278,17.888077,-14.282788
HG00146,EUR,-101.784134,-148.25859,-35.175793,-52.318745,3.4898393,-0.44891003,10.202916,0.91040844,-0.4147651,5.4444933,13.629371,-2.244338
HG00148,EUR,-100.34386,-148.30754,-30.362389,-49.388336,0.735993,0.050308354,12.127337,1.9026825,-0.4773229,13.665458,10.706415,-9.673408
HG00149,EUR,-98.82577,-150.7282,-34.08021,-51.53725,-2.1523657,-0.96880114,11.200056,1.0706029,9.708119,2.1151738,3.8948905,-15.268924
HG00150,EUR,-100.33982,-146.90244,-31.789843,-48.690605,-1.3442179,2.0705113,13.5815735,3.778086,-1.4190273,12.446979,12.967858,-9.698136
HG00151,EUR,-99.93064,-147.72473,-28.840334,-46.97076,-1.3353386,-1.524882,12.934106,-1.4834191,3.8657699,7.935568,8.272858,-8.479433
HG00154,EUR,-100.69968,-153.52583,-33.195457,-52.144497,-3.0123913,0.67218703,11.361993,0.4078883,6.022402,3.562838,11.059019,-12.193089
HG00155,EUR,-102.845276,-147.70201,-34.081894,-48.77453,-0.7816434,-2.3605022,14.348633,2.058257,3.8027349,5.4798803,15.939569,-12.613065
HG00157,EUR,-100.55902,-150.32243,-32.60357,-51.618164,-2.3518257,-1.3091825,14.224206,-0.53659385,0.173302,8.50157,9.150953,-11.178675
HG00158,EUR,-98.749306,-146.3351,-34.208305,-47.739334,-1.7549336,-2.2638726,9.3677845,0.45759717,10.184148,7.523611,7.244028,-15.495636
HG00159,EUR,-99.71109,-150.02939,-32.245193,-50.61196,-0.25801632,-1.4163353,9.724472,-0.17708288,5.657558,13.06155,10.7881,-10.027371
HG00160,EUR,-101.57324,-149.79247,-33.446922,-48.589954,-3.0406585,-2.5720396,13.108336,1.9608269,5.940888,6.6491895,9.59093,-12.675292
HG00171,EUR,-110.34183,-124.069984,-38.209656,-42.384758,-27.799759,-8.559385,98.88182,-20.075882,-4.473763,-8.859959,-7.5920224,10.389712
HG00173,EUR,-107.65379,-126.33422,-36.64734,-43.95392,-23.50335,-4.874175,85.63126,-16.988863,-3.6722963,-6.8623414,-18.604061,12.067825
HG00174,EUR,-105.22638,-134.81842,-38.719936,-43.363476,-19.69176,-5.1507516,67.85833,-12.129104,-4.7839017,-7.1620307,-5.5578465,10.490461
HG00176,EUR,-106.00954,-125.73169,-33.51684,-45.469494,-22.370022,-5.254298,84.45971,-19.641111,-4.682196,-8.680191,-7.427235,6.320329
HG00177,EUR,-106.92064,-118.93073,-34.683655,-40.422077,-27.516548,-5.3564053,91.83459,-20.336922,-2.79363,-12.164235,-17.162954,8.478704
HG00178,EUR,-106.373184,-127.8949,-36.21982,-48.75559,-22.281956,-5.1307473,78.533844,-15.6693535,-7.9521794,-3.5644236,-10.109677,5.252946
HG00179,EUR,-105.77067,-123.953995,-35.528786,-44.359573,-21.547472,-6.5571265,79.40446,-17.630915,-3.6071708,-9.6658945,-11.638921,9.891458
HG00180,EUR,-107.12663,-123.310265,-35.17337,-43.776775,-20.687746,-5.2540913,79.13084,-15.985604,-5.6373596,-7.007694,-8.069819,4.960246
HG00181,EUR,-98.46823,-128.22064,-29.170935,-46.150555,-16.662237,-4.838052,53.000053,-14.495131,0.51686424,-11.254063,-17.240713,14.3019285
HG00182,EUR,-103.22218,-123.30281,-35.88322,-39.649914,-23.139952,-8.305562,85.74306,-17.106585,-8.190536,-9.035985,-12.072722,9.228638
HG00183,EUR,-105.8735,-125.57612,-32.52841,-44.20221,-24.929499,-4.5943623,89.930084,-16.846432,-3.9858038,-2.206256,-21.779316,6.7421174
HG00185,EUR,-107.2791,-123.92576,-33.193214,-43.672516,-22.440744,-6.1800103,92.49639,-19.6772,-5.179693,-11.427728,-11.106894,10.877006
HG00186,EUR,-106.8253,-127.360985,-36.58785,-43.92925,-24.165962,-6.50028,93.00103,-17.520796,-5.869995,-5.767946,-19.87616,13.743092
HG00187,EUR,-103.55222,-123.2232,-39.710648,-44.16186,-28.01152,-6.5173583,93.582405,-21.635323,-9.515861,-12.822701,-17.231346,14.029371
HG00188,EUR,-105.83102,-130.30795,-33.19505,-44.388996,-23.273914,-6.0464063,83.242424,-15.896503,-3.8160288,-6.254058,-12.52002,7.992928
HG00189,EUR,-107.34769,-124.90146,-34.257385,-46.5098,-16.774471,-7.139247,77.13517,-12.288824,-1.1109768,-8.789415,-11.489474,8.456874
HG00190,EUR,-104.34832,-128.85825,-29.671762,-44.274372,-16.36809,-4.4085293,69.92333,-15.161322,-0.6283085,-3.5122178,-9.899556,4.714711
HG00231,EUR,-99.76371,-147.3893,-31.598309,-47.93014,-0.0014686062,-0.40230036,3.366031,1.0360835,-1.9014844,7.269489,15.347793,-10.374205
HG00232,EUR,-100.402176,-151.1305,-29.927704,-45.460796,-2.937539,-1.0883955,10.181922,-1.6042958,3.8562112,8.705437,11.702816,-12.526545
HG00233,EUR,-98.401245,-149.60419,-31.204044,-51.119633,-0.819266,-0.031995855,6.9385543,-0.5788088,4.220433,7.6785946,14.161967,-9.248728
HG00234,EUR,-99.41872,-148.56989,-30.230927,-51.11873,0.95779634,0.3870726,11.955532,-0.08006684,2.009559,4.221059,10.080136,-6.2944174
HG00235,EUR,-100.42227,-149.79927,-30.442833,-49.706955,-0.47638404,0.038456786,10.936642,-0.033255026,4.9953566,9.085915,5.1910825,-7.9172974
HG00236,EUR,-97.86443,-151.84242,-31.592999,-51.823845,-3.9552526,-0.54468554,8.348267,-0.0047300295,6.9200406,6.4788623,12.246461,-19.36298
HG00237,EUR,-99.10778,-148.74304,-29.323996,-49.831314,0.9906807,-1.564969,11.733609,1.3185844,0.6297241,5.307777,13.832364,-9.219859
HG00238,EUR,-101.32212,-148.47453,-30.21988,-48.74382,0.23377684,-2.384387,7.1767817,0.3640766,6.803582,14.252533,9.719332,-10.342605
HG00239,EUR,-97.23485,-151.71732,-32.1688,-50.44694,-3.641848,-1.7442886,12.213403,0.25974834,1.9232998,3.423953,7.5145826,-7.369829
HG00240,EUR,-102.05516,-150.7962,-29.495651,-47.844887,0.4328797,-3.3265393,10.245743,0.077111125,3.0076096,15.160287,8.539957,-11.185217
HG00242,EUR,-99.05898,-149.21425,-34.05178,-47.906776,-0.97167534,1.5066942,9.766933,-1.1748089,-1.2932196,8.323631,14.519112,-8.41553
HG00243,EUR,-101.44521,-150.57753,-30.580038,-47.172913,-1.5719373,-1.321426,8.332886,1.5729767,4.960394,9.146953,16.249195,-6.625467
HG00244,EUR,-99.11759,-147.01727,-30.379356,-48.716248,1.4254107,-1.5638025,3.3233185,0.76770025,5.5202804,9.469748,10.7037525,-11.5086775
HG00245,EUR,-97.44958,-148.75862,-30.887203,-50.18174,-0.29654655,-0.8699127,9.152811,-0.44561258,2.1213155,4.921298,7.951857,-7.616087
HG00246,EUR,-99.77998,-148.41953,-29.3334,-47.337673,-0.17992279,-0.39237142,5.7165337,2.5592618,0.99823684,8.58481,4.6587367,-10.049514
HG00250,EUR,-101.463356,-149.5928,-32.348267,-50.64088,-1.9198507,1.5930641,8.922394,0.8446615,3.1488042,10.773954,12.273153,-4.88848
HG00251,EUR,-100.68907,-149.68507,-30.50548,-46.317886,-2.1081834,0.22517484,4.0550985,0.850251,1.5852152,7.0105524,11.896699,-14.109556
HG00252,EUR,-101.11943,-149.42635,-31.630297,-51.226112,-3.098501,-0.78481084,7.946111,0.91339123,4.4956255,9.60909,7.971764,-3.721661
HG00253,EUR,-100.370865,-150.44641,-31.582838,-52.62973,-1.7591356,-1.6347978,7.963722,1.9799974,4.2226653,10.335246,14.234023,-11.83119
HG00254,EUR,-98.03068,-149.3333,-30.688536,-46.644306,3.830915,-1.7966635,11.214756,-1.6725447,2.5520353,10.258629,12.243142,-15.185955
HG00255,EUR,-100.47747,-147.82059,-32.43941,-48.629906,0.018734125,-0.8179521,10.221904,1.3452333,2.6036527,11.912135,18.125534,-11.894313
HG00256,EUR,-100.268364,-149.46812,-29.942518,-52.211506,-4.2396584,-4.0352197,12.322669,-0.06660406,1.3366994,6.1533113,18.943926,-13.8142
HG00257,EUR,-99.206215,-149.98819,-30.359694,-49.57277,-1.385636,-2.9951642,9.536523,-0.42201304,3.5978868,7.491114,9.135052,-11.076995
HG00258,EUR,-100.63504,-148.90845,-35.30945,-52.733646,-2.5369942,-0.84165853,8.704486,1.8114219,3.6497102,5.538829,10.85156,-1.0088898
HG00259,EUR,-99.1461,-150.90611,-34.01987,-51.458965,0.62718695,0.5440374,7.912898,2.4805734,4.5667305,5.4633775,13.524604,-10.934846
HG00260,EUR,-100.294365,-149.07304,-32.107777,-49.823093,-2.5937877,-0.78056854,13.37523,-0.831787,6.753464,11.274767,10.70234,-7.067368
HG00261,EUR,-100.923996,-149.1689,-32.477776,-52.89845,-0.27851197,-0.028728252,1.9976854,1.4476771,0.40765658,8.846872,5.392569,-8.447132
HG00262,EUR,-101.46149,-150.34264,-31.057049,-48.855644,0.4195149,1.1009083,9.641985,0.7745898,7.0598464,10.119304,8.021944,-9.186255
HG00263,EUR,-100.388535,-150.2726,-30.622368,-48.354145,-1.078176,-1.2441319,6.449072,2.4260762,0.5370278,9.033407,7.804087,-6.5072937
HG00264,EUR,-98.25466,-146.48875,-33.013863,-47.099266,0.46176416,-1.2596443,8.896305,3.9771922,0.12959394,7.4069777,14.516824,-15.422212
HG00265,EUR,-101.39793,-152.54454,-32.28099,-51.224995,-0.7896379,-1.0550233,15.322711,1.3264744,7.566881,7.7936125,9.982155,-7.6350207
HG00266,EUR,-103.46439,-126.78884,-34.76345,-43.426476,-21.054337,-5.919483,81.65619,-19.621914,-2.281382,-9.608781,-8.90805,10.187587
HG00267,EUR,-105.63219,-123.92496,-33.931534,-47.14365,-26.87493,-8.388469,90.43318,-19.321806,-12.100722,-9.292772,-12.271752,8.15449
HG00268,EUR,-105.976204,-130.19687,-33.914616,-47.41481,-15.329791,-4.425761,78.03738,-14.006786,-1.8574218,-0.26269063,-4.9782224,4.6215334
HG00269,EUR,-105.21538,-126.947,-32.897762,-42.397205,-23.771294,-6.207181,94.854,-19.343637,-7.9163117,-12.653491,-13.689873,13.973332
HG00271,EUR,-106.03379,-121.7198,-32.67986,-43.754303,-26.809782,-4.21065,106.823265,-22.65187,-11.322821,-14.605902,-12.582391,9.709958
HG00272,EUR,-106.00576,-117.90528,-33.280228,-40.148865,-21.977646,-5.947639,97.37838,-18.975073,-5.396243,-13.950112,-16.510311,21.105598
HG00273,EUR,-103.88849,-128.30106,-34.912388,-45.92246,-22.038406,-5.242276,72.47404,-11.876395,-5.0759563,-4.0137763,-7.686415,5.4950905
HG00274,EUR,-106.47481,-130.23827,-37.99001,-46.487335,-21.21384,-5.961074,78.009865,-14.739593,-2.7103913,-3.8522599,-9.941982,8.015833
HG00275,EUR,-104.60707,-129.60571,-32.295326,-46.307777,-17.715273,-7.061452,70.72827,-13.115529,-8.217127,-7.5361447,-6.863818,5.1593385
HG00276,EUR,-103.51601,-123.84303,-35.558872,-41.0175,-19.727512,-4.110292,86.50892,-17.338202,-8.707645,-12.611873,-6.1376357,11.076088
HG00277,EUR,-105.75635,-134.4465,-32.284176,-43.088856,-15.950194,-5.181179,63.647964,-12.183366,-0.8397068,-2.8022633,-3.6443744,2.6917114
HG00278,EUR,-106.504715,-127.19435,-32.81279,-41.8202,-22.039669,-4.93358,88.002846,-18.030306,-10.814321,-8.012281,-20.129122,15.111699
HG00280,EUR,-106.28061,-127.062035,-35.63034,-46.35277,-24.255102,-5.2262564,87.61307,-16.55488,-4.5880957,-5.5246916,-8.12417,7.7011123
HG00281,EUR,-106.76476,-127.44556,-34.376225,-42.806957,-22.76227,-7.99979,81.618935,-15.55376,-2.738019,-6.2635784,-6.313676,7.692317
HG00282,EUR,-104.29268,-125.49629,-32.934113,-45.01492,-23.439312,-4.2079077,84.78628,-20.208595,-6.106927,-9.049204,-10.778127,9.410916
HG00284,EUR,-107.44307,-128.94655,-35.073715,-42.67598,-24.503237,-5.3311706,83.4057,-16.840431,-5.230807,-10.958459,-10.906425,7.0377326
HG00285,EUR,-107.20267,-122.20329,-33.044365,-43.794968,-25.379686,-7.452109,99.42089,-20.612556,-5.598042,-8.755642,-11.823637,3.6432197
HG00288,EUR,-107.89474,-127.41985,-30.895039,-41.82861,-26.943052,-5.687314,96.44545,-21.367826,-3.9026172,-14.534789,-8.944478,5.122182
HG00290,EUR,-106.57954,-122.11158,-33.351242,-43.943146,-25.076038,-6.7240586,95.68439,-22.254099,-2.641447,-6.6132674,-14.845196,10.287846
HG00304,EUR,-103.53196,-126.976456,-32.000416,-43.295998,-27.743187,-6.899749,100.71678,-21.979568,-7.583402,-13.754733,-17.422876,10.374579
HG00306,EUR,-106.26878,-134.04242,-31.518135,-43.01761,-17.0666,-4.980187,70.68228,-11.1749525,3.9152305,-4.036436,-2.480607,3.9445968
HG00308,EUR,-104.71101,-124.252144,-33.154434,-43.349075,-19.251816,-4.163225,84.47931,-17.64437,-1.9559743,-2.3310652,-13.959574,4.16285
HG00309,EUR,-104.84818,-126.408646,-36.2221,-43.157063,-20.616188,-4.1972795,84.252594,-15.504236,0.21916573,-11.633219,-4.6267514,2.6843388
HG00310,EUR,-105.44992,-131.45473,-34.462173,-47.00951,-20.348362,-4.8483515,76.24898,-15.62101,0.051857855,-7.02415,-10.709856,0.52858216
HG00311,EUR,-106.99919,-137.5119,-35.825844,-47.351364,-15.142871,-2.6783657,60.910297,-12.103609,-0.5062439,-4.1144176,-3.2422988,7.440052
HG00313,EUR,-106.47013,-122.81038,-34.728107,-44.124092,-24.160378,-7.124133,88.956894,-18.817282,-4.397047,-16.263617,-9.280565,8.731533
HG00315,EUR,-106.76788,-126.07413,-36.03608,-41.64371,-20.258451,-5.7595882,82.614586,-16.462715,-2.421572,-6.087445,-8.907645,7.176478
HG00318,EUR,-104.88518,-132.1721,-33.596558,-44.22723,-21.429184,-5.7580347,80.10043,-15.982271,-1.759141,-3.7978945,-8.781101,3.771532
HG00319,EUR,-104.93558,-126.33274,-32.987778,-45.242767,-22.668556,-1.9985424,88.59558,-17.830036,-9.377298,-8.346519,-9.315644,6.9754214
HG00320,EUR,-105.80646,-128.05618,-34.304466,-44.315434,-18.148434,-4.943605,73.960075,-15.774301,-0.85455257,-5.28238,-6.5333605,10.78947
HG00321,EUR,-107.540306,-124.64891,-35.198044,-43.859924,-21.059566,-6.0116787,84.71772,-20.114218,-10.7538805,-4.9222755,-11.89961,12.048001
HG00323,EUR,-105.89609,-123.24254,-34.471138,-44.824635,-22.29117,-6.9290266,99.10308,-18.48539,-7.686087,-8.63696,-14.189301,15.164699
HG00324,EUR,-106.1514,-125.76283,-37.407177,-43.648872,-25.885506,-8.077821,101.224884,-21.758661,-6.0222383,-7.74551,-9.053028,11.140434
HG00325,EUR,-110.269165,-119.17812,-37.573196,-43.214764,-25.005259,-6.5133424,102.95064,-20.131418,-2.3594902,-6.588341,-15.250159,18.96281
HG00326,EUR,-105.00346,-129.11623,-36.382866,-45.3957,-25.106249,-6.3538337,85.2527,-16.5513,-0.08679947,-7.5774937,-7.82805,7.6447167
HG00327,EUR,-104.5122,-125.43012,-31.467022,-43.63072,-22.45821,-7.750998,87.269104,-18.046001,-1.1221076,-8.948851,-16.222319,4.335003
HG00328,EUR,-107.210045,-129.81995,-40.024586,-44.45288,-21.88649,-7.1088233,85.91732,-16.265234,-9.716332,-4.6319547,-17.965172,6.371804
HG00329,EUR,-105.27854,-130.04816,-33.080685,-45.045708,-20.377869,-5.8729124,71.94161,-10.934981,-7.6602077,-7.4871025,-7.121342,7.099378
HG00330,EUR,-105.452545,-126.49578,-34.893784,-43.34747,-19.209028,-4.7315607,77.53931,-17.54006,-1.9722772,0.5404109,-10.257275,9.121822
HG00331,EUR,-103.78503,-127.41066,-33.738693,-45.016483,-22.281435,-6.565059,72.02133,-15.260283,-2.8466938,-8.467701,-2.7808795,2.5166087
HG00332,EUR,-105.285225,-129.00702,-33.474045,-43.92872,-17.570194,-2.296326,69.59282,-13.338343,-7.6701403,-11.217659,-6.3604684,1.0866008
HG00334,EUR,-103.85509,-133.58743,-36.560722,-46.354946,-17.762579,-5.503319,73.98506,-15.20934,-4.157811,-4.1062036,-2.1498244,7.1190434
HG00335,EUR,-106.35538,-132.21861,-36.38258,-47.368336,-22.899319,-3.9413786,86.61842,-18.462545,0.42775533,-9.17186,-13.1854515,8.288818
HG00336,EUR,-106.513794,-122.79643,-32.64863,-44.59385,-25.983156,-4.720614,83.11086,-16.617361,-10.32238,-12.302535,-11.43596,5.695114
HG00337,EUR,-106.04054,-132.257,-36.348896,-44.82026,-20.675947,-5.81194,72.05987,-15.251283,-1.1549633,2.1473489,-3.8718317,2.4352548
HG00338,EUR,-102.86569,-127.818,-34.848087,-45.83684,-24.175041,-4.6449924,87.9497,-16.334198,-3.4202476,-4.364823,-7.9572268,5.5550036
HG00339,EUR,-105.08929,-125.13124,-32.682995,-45.420727,-18.759819,-7.1573377,77.49103,-13.607058,-1.4190886,-6.398056,-14.736384,6.7506204
HG00341,EUR,-99.620224,-128.85992,-28.857388,-42.309525,-14.527078,-3.0692225,51.60683,-11.836619,-2.739708,-4.8407345,-7.364605,6.5676746
HG00342,EUR,-106.8982,-124.808975,-35.363964,-44.827106,-25.63169,-6.130418,94.416794,-18.754154,-10.137917,-8.816747,-14.097023,13.052705
HG00343,EUR,-105.65163,-126.41087,-34.924816,-45.87081,-23.582104,-6.22903,86.31525,-19.572468,-8.288593,-9.311302,-6.71109,8.229422
HG00344,EUR,-103.79051,-138.48448,-32.10624,-45.84789,-11.704255,-2.3473687,53.477303,-10.250107,-1.5027912,-2.0050707,0.10083431,0.56069916
HG00345,EUR,-105.99534,-129.04814,-35.181004,-44.098644,-21.505045,-8.34836,82.97238,-18.636404,-3.9474428,-15.723321,-12.482046,7.1795225
HG00346,EUR,-104.95775,-130.38982,-37.638474,-45.32236,-17.90745,-5.7823544,77.0738,-14.592127,-1.8211414,0.81297725,-13.420784,4.405447
HG00349,EUR,-106.87494,-124.34808,-33.96623,-46.294533,-25.951807,-7.7546945,90.46485,-18.612669,-2.204901,-5.527642,-12.257995,7.1887174
HG00350,EUR,-101.53352,-137.46672,-34.115406,-47.230247,-12.334304,-2.742514,56.516136,-10.452632,-1.7721854,2.1944025,5.6078467,0.12653837
HG00351,EUR,-105.82777,-128.13963,-36.531986,-47.345665,-20.979786,-4.7249393,83.959114,-17.220325,-2.9567237,-10.842891,-12.7182,8.044158
HG00353,EUR,-107.4639,-125.61896,-35.1563,-44.865105,-17.25834,-5.3480186,82.72781,-20.40339,-8.776487,-6.34759,-9.3890295,8.079817
HG00355,EUR,-107.49412,-130.43634,-35.55302,-45.49869,-20.284304,-4.2387342,73.95863,-12.631626,0.028554285,-3.6591132,-8.883226,1.1340215
HG00356,EUR,-105.2258,-128.25526,-35.885754,-44.22243,-21.104652,-5.0681567,82.479904,-18.859066,-4.339194,-1.0395312,-8.5717325,6.3735294
HG00357,EUR,-104.56205,-131.90349,-34.791584,-47.716934,-23.84265,-4.942693,79.050255,-17.08185,-7.5860786,-8.51686,-13.5036745,7.2887278
HG00358,EUR,-105.77031,-123.95767,-39.20544,-43.158623,-27.368809,-7.494236,107.570404,-23.269236,-8.718157,-12.100232,-18.169641,14.451421
HG00360,EUR,-104.67867,-133.5647,-33.409336,-46.6105,-17.820349,-6.205103,76.43387,-14.70241,-4.0968394,-5.2271204,-8.643684,9.009415
HG00361,EUR,-107.424995,-120.48207,-33.749397,-40.625923,-30.825966,-6.858714,107.448875,-23.096521,-13.483135,-15.579408,-14.306355,14.565067
HG00362,EUR,-105.834625,-129.77734,-33.210693,-42.978436,-20.971039,-5.838127,80.68622,-15.279659,-7.3136816,-2.525358,-7.5304956,-2.3105645
HG00364,EUR,-104.953545,-128.72676,-35.694225,-44.61259,-17.70487,-7.858788,82.62918,-15.265326,-7.0506706,-9.122363,-14.983464,3.3068986
HG00365,EUR,-105.45031,-124.59891,-35.753357,-42.90406,-28.339798,-5.617943,96.96433,-21.351099,-7.5165925,-13.224832,-15.231341,14.456571
HG00366,EUR,-106.83845,-126.69107,-32.995945,-41.320164,-22.904913,-6.532338,83.89853,-19.981554,-6.6803575,-11.230299,-9.2756815,6.3568373
HG00367,EUR,-108.2159,-124.98917,-35.49966,-43.843494,-21.50221,-6.3808427,71.97065,-15.072585,-3.7046895,-8.982196,-9.496041,9.939081
HG00368,EUR,-106.97608,-122.68175,-33.974953,-42.100338,-32.451134,-6.1746454,110.61581,-24.850746,-5.91303,-11.600833,-18.722681,17.241434
HG00369,EUR,-106.40756,-124.22112,-32.50387,-42.09722,-21.852297,-5.6559157,92.12005,-18.877512,-9.80782,-7.0674014,-6.3086877,11.713383
